PI4KB,Pi4kb
AKAP17BP,Akap17b
AKAP3,Akap3
AKAP4,Akap4
AKAP5,Akap5
AKAP6,Akap6
AKAP7,Akap7
AKAP8,Akap8
AKAP8L,Akap8l
AKAP9,Akap9
AKIP1,Akip1
AKIRIN1,Akirin1
AKIRIN2,Akirin2
AKNA,Akna
AKNAD1,Aknad1
AKR1A1,Akr1a1
AKR1B1,Akr1b3
AKR1B10,Akr1b10
AKR1B10,Akr1b7
AKR1B10,Akr1b8
AKR1B15,Akr1b10
AKR1B15,Akr1b8
AKR1B15,Akr1b7
AKR1C1,Akr1c14
AKR1C1,Akr1c20
AKR1C1,Akr1cl
AKR1C1,Akr1c6
AKR1C1,Akr1c21
AKR1C2,Akr1c21
AKR1C2,Akr1cl
AKR1C2,Akr1c6
AKR1C2,Akr1c20
AKR1C2,Akr1c14
AKR1C3,Akr1c6
AKR1C3,Akr1c14
AKR1C3,Akr1c18
AKR1C3,Akr1cl
AKR1C3,Akr1c20
AKR1C4,Akr1c13
AKR1C4,Akr1c19
AKR1C4,Akr1c14
AKR1C4,Akr1c21
AKR1C4,Akr1c20
AKR1C4,Akr1c12
AKR1C4,Akr1c6
AKR1D1,Akr1d1
AKR1E2,Akr1e1
AKR7A2,Akr7a5
AKR7A3,Akr7a5
AKR7L,Akr7a5
AKT1,Akt1
AKT1S1,Akt1s1
AKT2,Akt2
AKT3,Akt3
AKTIP,Aktip
ALAD,Alad
ALAS1,Alas1
ALAS2,Alas2
ALB,Alb
ALCAM,Alcam
ALDH16A1,Aldh16a1
ALDH18A1,Aldh18a1
ALDH1A1,Aldh1a1
ALDH1A1,Aldh1a7
ALDH1A2,Aldh1a2
ALDH1A3,Aldh1a3
ALDH1B1,Aldh1b1
ALDH1L1,Aldh1l1
ALDH1L2,Aldh1l2
ALDH2,Aldh2
ALDH3A1,Aldh3a1
ALDH3A2,Aldh3a2
ALDH3B1,Aldh3b1
ALDH3B2,Aldh3b2
ALDH3B2,Aldh3b3
ALDH4A1,Aldh4a1
ALDH5A1,Aldh5a1
ALDH6A1,Aldh6a1
ALDH7A1,Aldh7a1
ALDH8A1,Aldh8a1
ALDH9A1,Aldh9a1
ALDOA,Aldoa
ALDOB,Aldob
ALDOC,Aldoc
ALG1,Alg1
ALG10,Alg10b
ALG10B,Alg10b
ALG11,Alg11
ALG12,Alg12
ALG13,Alg13
ALG14,Alg14
ALG1L1P,Alg1
ALG1L2,Alg1
ALG2,Alg2
ALG3,Alg3
ALG5,Alg5
ALG6,Alg6
ALG8,Alg8
ALG9,Alg9
ALK,Alk
ALKAL1,Alkal1
ALKAL2,Alkal2
ALKBH1,Alkbh1
ALKBH2,Alkbh2
ALKBH3,Alkbh3
ALKBH4,Alkbh4
ALKBH5,Alkbh5
ALKBH6,Alkbh6
ALKBH7,Alkbh7
ALKBH8,Alkbh8
ALLC,Allc
ALMS1,Alms1
ALOX12,Alox12
ALOX12B,Alox12b
ALOX15,Alox15
ALOX15B,Alox8
ALOX5,Alox5
ALOX5AP,Alox5ap
ALOXE3,Aloxe3
ALPG,Alpi
ALPG,Alppl2
ALPG,Akp3
ALPI,Akp3
ALPI,Alppl2
ALPI,Alpi
ALPK1,Alpk1
ALPK2,Alpk2
ALPK3,Alpk3
ALPL,Alpl
ALPP,Alpi
ALS2,Als2
ALS2CL,Als2cl
ALX1,Alx1
ALX3,Alx3
ALX4,Alx4
ALYREF,Gm21293
ALYREF,Gm4312
ALYREF,4931428L18Rik
ALYREF,Gm4307
ALYREF,Gm4301
ALYREF,Gm4340
ALYREF,Gm5698
ALYREF,Alyref2
ALYREF,Gm4305
ALYREF,Gm4303
ALYREF,Alyref
ALYREF,Gm4302
AMACR,Amacr
AMBN,Ambn
AMBP,Ambp
AMBRA1,Ambra1
AMD1,Amd1
AMD1,Amd2
AMDHD1,Amdhd1
AMDHD2,Amdhd2
AMELX,Amelx
AMELY,Amelx
AMER1,Amer1
AMER2,Amer2
AMER3,Amer3
AMFR,Amfr
AMH,Amh
AMHR2,Amhr2
AMIGO1,Amigo1
AMIGO2,Amigo2
AMIGO3,Amigo3
AMMECR1,Ammecr1
AMMECR1L,Ammecr1l
AMN,Amn
AMN1,Amn1
AMOT,Amot
AMOTL1,Amotl1
AMOTL2,Amotl2
AMPD1,Ampd1
AMPD2,Ampd2
AMPD3,Ampd3
AMPH,Amph
AMT,Amt
AMTN,Amtn
AMY1A,Amy2a1
AMY1A,Amy1
AMY1A,Amy2a3
AMY1A,Amy2a4
AMY1A,Amy2a5
AMY1A,Amy2a2
AMY1B,Amy2a4
AMY1B,Amy2a2
AMY1B,Amy2a1
AMY1B,Amy1
AMY1B,Amy2a3
AMY1B,Amy2a5
AMY1C,Amy2a5
AMY1C,Amy2a3
AMY1C,Amy1
AMY1C,Amy2a4
AMY1C,Amy2a2
AMY1C,Amy2a1
AMY2A,Amy2a4
AMY2A,Amy2a1
AMY2A,Amy1
AMY2A,Amy2a2
AMY2A,Amy2a5
AMY2A,Amy2a3
AMY2B,Amy2a3
AMY2B,Amy2a2
AMY2B,Amy2a1
AMY2B,Amy2a4
AMY2B,Amy2a5
AMY2B,Amy1
AMZ1,Amz1
AMZ2,Amz2
ANAPC1,Anapc1
ANAPC10,Anapc10
ANAPC11,Anapc11
ANAPC13,Anapc13
ANAPC15,Anapc15-ps
ANAPC15,Anapc15
ANAPC16,Anapc16
ANAPC2,Anapc2
ANAPC4,Anapc4
ANAPC5,Anapc5
ANAPC7,Anapc7
ANG,Ang2
ANG,Ang
ANG,Ang4
ANG,Ang6
ANG,Ang5
ANG,Ang3
ANGEL1,Angel1
ANGEL2,Angel2
ANGPT1,Angpt1
ANGPT2,Angpt2
ANGPT4,Angpt4
ANGPTL1,Angptl1
ANGPTL2,Angptl2
ANGPTL3,Angptl3
ANGPTL4,Angptl4
ANGPTL6,Angptl6
ANGPTL7,Angptl7
ANGPTL8,Angptl8
ANK1,Ank1
ANK2,Ank2
ANK3,Ank3
ANKAR,Ankar
ANKDD1A,Ankdd1a
ANKDD1B,Ankdd1b
ANKEF1,Ankef1
ANKFN1,Ankfn1
ANKFY1,Ankfy1
ANKH,Ank
ANKHD1,Ankhd1
ANKHD1-EIF4EBP3,Ankhd1
ANKIB1,Ankib1
ANKK1,Ankk1
ANKLE1,Ankle1
ANKLE2,Ankle2
ANKMY1,Ankmy1
ANKMY2,Ankmy2
ANKRA2,Ankra2
ANKRD1,Ankrd1
ANKRD10,Ankrd10
ANKRD11,Ankrd11
ANKRD12,Ankrd12
ANKRD13A,Ankrd13a
ANKRD13B,Ankrd13b
ANKRD13C,Ankrd13c
ANKRD13D,Ankrd13d
ANKRD16,Ankrd16
ANKRD17,Ankrd17
ANKRD2,Ankrd2
ANKRD22,Ankrd22
ANKRD23,Ankrd23
ANKRD24,Ankrd24
ANKRD26,Ankrd26
ANKRD27,Ankrd27
ANKRD28,Ankrd28
ANKRD29,Ankrd29
ANKRD31,Ankrd31
ANKRD33,Ankrd33
ANKRD33B,Ankrd33b
ANKRD34A,Ankrd34a
ANKRD34B,Ankrd34b
ANKRD34C,Ankrd34c
ANKRD35,Ankrd35
ANKRD37,Ankrd37
ANKRD39,Ankrd39
ANKRD40,Ankrd40
ANKRD40CL,Ankrd40cl
ANKRD42,Ankrd42
ANKRD44,Ankrd44
ANKRD45,Ankrd45
ANKRD46,Ankrd46
ANKRD49,Ankrd49
ANKRD50,Ankrd50
ANKRD52,Ankrd52
ANKRD53,Ankrd53
ANKRD54,Ankrd54
ANKRD55,Ankrd55
ANKRD6,Ankrd6
ANKRD60,Ankrd60
ANKRD61,Ankrd61
ANKRD63,Ankrd63
ANKRD65,Ankrd65
ANKRD66,Ankrd66
ANKRD7,Ankrd7
ANKRD9,Ankrd9
ANKS1A,Anks1
ANKS1B,Anks1b
ANKS3,Anks3
ANKS4B,Anks4b
ANKS6,Anks6
ANKUB1,Ankub1
ANKZF1,Ankzf1
ANLN,Anln
ANO1,Ano1
ANO10,Ano10
ANO2,Ano2
ANO3,Ano3
ANO4,Ano4
ANO5,Ano5
ANO6,Ano6
ANO7,Ano7
ANO8,Ano8
ANO9,Ano9
ANP32A,Anp32a
ANP32B,Anp32b
ANP32C,Anp32a
ANP32D,Anp32-ps
ANP32E,Anp32e
ANPEP,Anpep
ANTKMT,Antkmt
ANTXR1,Antxr1
ANTXR2,Antxr2
ANTXRL,Antxrl
ANXA1,Anxa1
ANXA10,Anxa10
ANXA11,Anxa11
ANXA13,Anxa13
ANXA2,Anxa2
ANXA2P2,Anxa2
ANXA2R,Gm36079
ANXA2R,Gm21188
ANXA3,Anxa3
ANXA4,Anxa4
ANXA5,Anxa5
ANXA6,Anxa6
ANXA7,Anxa7
ANXA8,Anxa8
ANXA8L1,Anxa8
ANXA9,Anxa9
AOAH,Aoah
AOC1,Aoc1l2
AOC1,Aoc1l1
AOC1,Aoc1l3
AOC1,Aoc1
AOC2,Aoc2
AOC3,Aoc3
AOPEP,Aopep
AOX1,Aox1
AOX2P,Aox2
AOX3P,Aox3
AP1AR,Ap1ar
AP1B1,Ap1b1
AP1G1,Ap1g1
AP1G2,Ap1g2
AP1M1,Ap1m1
AP1M2,Ap1m2
AP1S1,Ap1s1
AP1S2,Ap1s2
AP1S3,Ap1s3
AP2A1,Ap2a1
AP2A2,Ap2a2
AP2B1,Ap2b1
AP2M1,Ap2m1
AP2S1,Ap2s1
AP3B1,Ap3b1
AP3B2,Ap3b2
AP3D1,Ap3d1
AP3M1,Ap3m1
AP3M2,Ap3m2
AP3S1,Ap3s1
AP3S2,Ap3s2
AP4B1,Ap4b1
AP4E1,Ap4e1
AP4M1,Ap4m1
AP4S1,Ap4s1
AP5B1,Ap5b1
AP5M1,Ap5m1
AP5S1,Ap5s1
AP5Z1,Ap5z1
APAF1,Apaf1
APBA1,Apba1
APBA2,Apba2
APBA3,Apba3
APBB1,Apbb1
APBB1IP,Apbb1ip
APBB2,Apbb2
APBB3,Apbb3
APC,Apc
APC2,Apc2
APCDD1,Apcdd1
APCS,Apcs
APEH,Apeh
APELA,Apela
APEX1,Apex1
APEX2,Apex2
APH1A,Aph1a
APH1B,Aph1c
APH1B,Aph1b
API5,Api5
APIP,Apip
APLF,Aplf
APLN,Apln
APLNR,Aplnr
APLP1,Aplp1
APLP2,Aplp2
APMAP,Apmap
APOA1,Apoa1
APOA2,Apoa2
APOA4,Apoa4
APOA5,Apoa5
APOB,Apob
APOBEC1,Apobec1
APOBEC2,Apobec2
APOBEC3B,Apobec3
APOBEC3C,Apobec3
APOBEC3D,Apobec3
APOBEC3F,Apobec3
APOBEC3G,Apobec3
APOBEC4,Apobec4
APOBR,Apobr
APOC1,Apoc1
APOC2,Apoc2
APOC2,Apoc2l
APOC3,Apoc3
APOC4,Apoc4
APOD,Apod
APOE,Apoe
APOF,Apof
APOH,Apoh
APOL1,Apol11b
APOL1,Apol9b
APOL1,Apol10a
APOL1,Apol8
APOL1,Apol10b
APOL1,Apol9a
APOL1,Apol11a
APOL2,Apol7e
APOL2,Apol9b
APOL2,Apol9a
APOL2,Apol10b
APOL2,Apol10a
APOL2,Apol11b
APOL2,Apol7a
APOL2,Apol7b
APOL2,Apol7c
APOL2,Apol8
APOL3,Apol8
APOL4,Apol8
APOL6,Apol6
APOLD1,Apold1
APOM,Apom
APONP,Apon
APOO,Apoo
APOOL,Apool
APP,App
APPBP2,Appbp2
APPL1,Appl1
APPL2,Appl2
APRT,Aprt
APTX,Aptx
AQP1,Aqp1
AQP11,Aqp11
AQP12A,Aqp12
AQP12B,Aqp12
AQP2,Aqp2
AQP3,Aqp3
AQP4,Aqp4
AQP5,Aqp5
AQP6,Aqp6
AQP7,Aqp7
AQP7P3,Aqp7
AQP8,Aqp8
AQP9,Aqp9
AQR,Aqr
AR,Ar
ARAF,Araf
ARAP1,Arap1
ARAP2,Arap2
ARAP3,Arap3
ARC,Arc
ARCN1,Arcn1
AREG,Areg
AREL1,Arel1
ARF1,Arf1
ARF2P,Arf2
ARF3,Arf3
ARF4,Arf4
ARF5,Arf5
ARF6,Arf6
ARFGAP1,Arfgap1
ARFGAP2,Arfgap2
ARFGAP3,Arfgap3
ARFGEF1,Arfgef1
ARFGEF2,Arfgef2
ARFGEF3,Arfgef3
ARFIP1,Arfip1
ARFIP2,Arfip2
ARFRP1,Arfrp1
ARG1,Arg1
ARG2,Arg2
ARGLU1,Arglu1
ARHGAP1,Arhgap1
ARHGAP10,Arhgap10
ARHGAP11A,Arhgap11a
ARHGAP11B,Arhgap11a
ARHGAP12,Arhgap12
ARHGAP15,Arhgap15
ARHGAP17,Arhgap17
ARHGAP18,Arhgap18
ARHGAP19,Arhgap19
ARHGAP20,Arhgap20
ARHGAP21,Arhgap21
ARHGAP22,Arhgap22
ARHGAP23,Arhgap23
ARHGAP24,Arhgap24
ARHGAP25,Arhgap25
ARHGAP26,Arhgap26
ARHGAP27,Arhgap27
ARHGAP28,Arhgap28
ARHGAP29,Arhgap29
ARHGAP30,Arhgap30
ARHGAP31,Arhgap31
ARHGAP32,Arhgap32
ARHGAP33,Arhgap33
ARHGAP35,Arhgap35
ARHGAP36,Arhgap36
ARHGAP39,Arhgap39
ARHGAP4,Arhgap4
ARHGAP40,Arhgap40
ARHGAP42,Arhgap42
ARHGAP44,Arhgap44
ARHGAP45,Arhgap45
ARHGAP5,Arhgap5
ARHGAP6,Arhgap6
ARHGAP8,Arhgap8
ARHGAP9,Arhgap9
ARHGDIA,Arhgdia
ARHGDIB,Arhgdib
ARHGDIG,Arhgdig
ARHGEF1,Arhgef1
ARHGEF10,Arhgef10
ARHGEF10L,Arhgef10l
ARHGEF11,Arhgef11
ARHGEF12,Arhgef12
ARHGEF15,Arhgef15
ARHGEF16,Arhgef16
ARHGEF17,Arhgef17
ARHGEF18,Arhgef18
ARHGEF19,Arhgef19
ARHGEF2,Arhgef2
ARHGEF25,Arhgef25
ARHGEF26,Arhgef26
ARHGEF28,Arhgef28
ARHGEF3,Arhgef3
ARHGEF33,Arhgef33
ARHGEF37,Arhgef37
ARHGEF38,Arhgef38
ARHGEF39,Arhgef39
ARHGEF4,Arhgef4
ARHGEF40,Arhgef40
ARHGEF5,Arhgef5
ARHGEF6,Arhgef6
ARHGEF7,Arhgef7
ARHGEF9,Arhgef9
ARID1A,Arid1a
ARID1B,Arid1b
ARID2,Arid2
ARID3A,Arid3a
ARID3B,Arid3b
ARID3C,Arid3c
ARID4A,Arid4a
ARID4B,Arid4b
ARID5A,Arid5a
ARID5B,Arid5b
ARIH1,Arih1
ARIH2,Arih2
ARIH2OS,Arih2os
ARL1,Arl1
ARL10,Arl10
ARL11,Arl11
ARL13A,Arl13a
ARL13B,Arl13b
ARL14,Arl14
ARL14EP,Arl14ep
ARL14EPL,Arl14epl
ARL15,Arl15
ARL16,Arl16
ARL2,Arl2
ARL2BP,Arl2bp
ARL3,Arl3
ARL4A,Arl4a
ARL4C,Arl4c
ARL4D,Arl4d
ARL5A,Arl5a
ARL5B,Arl5b
ARL5C,Arl5c
ARL6,Arl6
ARL6IP1,Arl6ip1
ARL6IP4,Arl6ip4
ARL6IP5,Arl6ip5
ARL6IP6,Arl6ip6
ARL8A,Arl8a
ARL8B,Arl8b
ARL9,Arl9
ARMC1,Armc1
